GeneID	GSM4318505	GSM4318506	GSM4318507	GSM4318508	GSM4318509	GSM4318510
81569	0.06441	0.03359	0.0547	0.1025	0	0.06076
105376809	0	0	0	0	0	0
105376812	0	0	0	0	0	0
101927876	0	0	0	0	0	0
84966	0	0.02822	0	0	0	0
105376814	0	0	0	0	0	0
127707	0	0.01299	0.01057	0.03961	0.01288	0
5081	0	0	0	0	0	0
80834	0	0.02612	0	0	0	0
8659	18.63	19.47	15.06	14.71	15.6	14.6
100616120	0.853	0.8897	0	0.9046	0.8828	0
100302276	0.8092	1.688	0	0.8582	1.675	0
126917	5.751	6.67	7.001	9.165	9.674	9.598
105376815	0	0	0	0	0	0
23352	48.86	51	37.43	49.57	58.16	47.37
101927895	11.7	15.57	9.704	12.55	13.64	13.76
23065	43.18	42.99	35.45	39.25	42.93	41.17
51154	106.5	111.5	107.5	119.6	112.8	122.7
246181	2.271	2.592	2.406	1.729	2.351	2.496
22977	1.511	2.248	1.189	1.187	1.275	1.056
100506730	5.881	6.795	4.758	4.275	4.565	4.065
8574	74.01	81.6	69.36	71.29	69.39	71.07
54896	2.579	3.377	1.951	1.851	2.348	1.893
832	175.2	208	176.2	201.2	190.1	199.4
105376819	0.07426	0	0	0	0	0.07005
105376818	0	0	0	0	0	0
105376817	0	0	0	0	0.05368	0
105378614	0	0	0	0	0	0
440574	25.47	22.8	25.25	20.82	21.85	21.62
100532736	13.57	13.74	14.59	12.42	12.92	12.45
644068	3.314	5.107	3.646	2.956	3.976	3.126
4681	1.807	2.22	2.081	1.959	1.933	2.122
3362	0.3488	0.2945	0.1693	0.2114	0.1891	0.1567
255104	0.1776	0.2985	0.2849	0.3035	0.2553	0.4282
54546	0	0	0	0	0	0
105376823	0.2051	0	0.08709	0.2175	0.2123	0.09674
23252	13.91	12.38	12.53	12.82	14.78	12.77
30814	0	0	0.06828	0	0	0
5320	0	0	0	0	0	0
5322	0	0	0.01548	0	0	0.01719
26279	0	0	0	0	0	0
64600	0	0	0	0	0.02396	0
391013	0.1946	0.319	0.2125	0.6193	0.6331	0.5771
127733	2.206	2.442	5.652	7.9	7.058	8.121
101928017	9.901	10.84	12.61	10.89	10.12	12.61
105376825	0.2696	0.2596	0.4756	0.748	0.4723	0.587
